index,raw_tick_uint32,intensity_int16,endianness
797,4294956695,0,LE
798,3600023552,-1,LE
799,0,-10607,LE
800,65535,0,LE
801,4294956686,0,LE
802,3599433728,-1,LE
803,0,-10616,LE
804,65535,0,LE
805,4294956677,0,LE
806,3598843904,-1,LE
807,0,-10625,LE
808,65535,0,LE
809,4294956668,0,LE
810,3598254080,-1,LE
811,0,-10635,LE
812,65535,0,LE
813,4294956658,0,LE
814,3597598720,-1,LE
815,0,-10645,LE
816,65535,0,LE
817,4294956648,0,LE
818,3596877824,-1,LE
819,0,-10656,LE
820,65535,0,LE
821,4294956637,0,LE
822,3596156928,-1,LE
823,0,-10668,LE
824,65535,0,LE
825,4294956624,0,LE
826,3595304960,-1,LE
827,0,-10681,LE
828,65535,0,LE
829,4294956611,0,LE
830,3594452992,-1,LE
831,0,-10694,LE
832,65535,0,LE
833,4294956598,0,LE
834,3593601024,-1,LE
835,0,-10706,LE
836,65535,0,LE
837,4294956586,0,LE
838,3592880128,-1,LE
839,0,-10716,LE
840,65535,0,LE
841,4294956577,0,LE
842,3592290304,-1,LE
843,0,-10724,LE
844,65535,0,LE
845,4294956570,0,LE
846,3591897088,-1,LE
847,0,-10730,LE
848,65535,0,LE
849,4294956565,0,LE
850,3591634944,-1,LE
851,0,-10733,LE
852,65535,0,LE
853,4294956561,0,LE
854,3591372800,-1,LE
855,0,-10737,LE
856,65535,0,LE
857,4294956558,0,LE
858,3591176192,-1,LE
859,0,-10741,LE
860,65535,0,LE
861,4294956553,0,LE
862,3590782976,-1,LE
863,0,-10747,LE
864,65535,0,LE
865,4294956547,0,LE
866,3590258688,-1,LE
867,0,-10756,LE
868,65535,0,LE
869,4294956536,0,LE
870,3589537792,-1,LE
871,0,-10769,LE
872,65535,0,LE
873,4294956521,0,LE
874,3588358144,-1,LE
875,0,-10789,LE
876,65535,0,LE
877,4294956499,0,LE
878,3586850816,-1,LE
879,0,-10815,LE
880,65535,0,LE
881,4294956471,0,LE
882,3584753664,-1,LE
883,0,-10849,LE
884,65535,0,LE
885,4294956434,0,LE
886,3582197760,-1,LE
887,0,-10891,LE
888,65535,0,LE
889,4294956389,0,LE
890,3579052032,-1,LE
891,0,-10942,LE
892,65535,0,LE
893,4294956335,0,LE
894,3575316480,-1,LE
895,0,-11001,LE
896,65535,0,LE
897,4294956274,0,LE
898,3571187712,-1,LE
899,0,-11066,LE
900,65535,0,LE
901,4294956207,0,LE
902,3566731264,-1,LE
903,0,-11135,LE
904,65535,0,LE
905,4294956137,0,LE
906,3562078208,-1,LE
907,0,-11207,LE
908,65535,0,LE
909,4294956065,0,LE
910,3557359616,-1,LE
911,0,-11279,LE
912,65535,0,LE
913,4294955993,0,LE
914,3552641024,-1,LE
915,0,-11350,LE
916,65535,0,LE
917,4294955923,0,LE
918,3548119040,-1,LE
919,0,-11418,LE
920,65535,0,LE
921,4294955857,0,LE
922,3543924736,-1,LE
923,0,-11480,LE
924,65535,0,LE
925,4294955796,0,LE
926,3540058112,-1,LE
927,0,-11537,LE
928,65535,0,LE
929,4294955742,0,LE
930,3536715776,-1,LE
931,0,-11585,LE
932,65535,0,LE
933,4294955696,0,LE
934,3533897728,-1,LE
935,0,-11625,LE
936,65535,0,LE
937,4294955660,0,LE
938,3531669504,-1,LE
939,0,-11656,LE
940,65535,0,LE
941,4294955632,0,LE
942,3530031104,-1,LE
943,0,-11679,LE
944,65535,0,LE
945,4294955612,0,LE
946,3528916992,-1,LE
947,0,-11694,LE
948,65535,0,LE
949,4294955598,0,LE
950,3528196096,-1,LE
951,0,-11703,LE
952,65535,0,LE
953,4294955591,0,LE
954,3527802880,-1,LE
955,0,-11707,LE
956,65535,0,LE
957,4294955589,0,LE
958,3527802880,-1,LE
959,0,-11706,LE
960,65535,0,LE
961,4294955591,0,LE
962,3527999488,-1,LE
963,0,-11701,LE
964,65535,0,LE
965,4294955597,0,LE
966,3528392704,-1,LE
967,0,-11694,LE
968,65535,0,LE
969,4294955605,0,LE
970,3528982528,-1,LE
971,0,-11684,LE
972,65535,0,LE
973,4294955615,0,LE
974,3529703424,-1,LE
975,0,-11673,LE
976,65535,0,LE
977,4294955627,0,LE
978,3530489856,-1,LE
979,0,-11661,LE
980,65535,0,LE
981,4294955640,0,LE
982,3531341824,-1,LE
983,0,-11647,LE
984,65535,0,LE
985,4294955653,0,LE
986,3532259328,-1,LE
987,0,-11633,LE
988,65535,0,LE
989,4294955669,0,LE
990,3533307904,-1,LE
991,0,-11616,LE
992,65535,0,LE
993,4294955686,0,LE
994,3534487552,-1,LE
995,0,-11597,LE
996,65535,0,LE
997,4294955705,0,LE
998,3535863808,-1,LE
999,0,-11576,LE
1000,65535,0,LE
1001,4294955727,0,LE
1002,3537305600,-1,LE
1003,0,-11553,LE
1004,65535,0,LE
1005,4294955751,0,LE
1006,3538878464,-1,LE
1007,0,-11529,LE
1008,65535,0,LE
1009,4294955775,0,LE
1010,3540385792,-1,LE
1011,0,-11506,LE
1012,65535,0,LE
1013,4294955798,0,LE
1014,3541893120,-1,LE
1015,0,-11483,LE
1016,65535,0,LE
1017,4294955820,0,LE
1018,3543334912,-1,LE
1019,0,-11463,LE
1020,65535,0,LE
1021,4294955840,0,LE
1022,3544580096,-1,LE
1023,0,-11445,LE
1024,65535,0,LE
1025,4294955857,0,LE
1026,3545563136,-1,LE
1027,0,-11430,LE
1028,65535,0,LE
1029,4294955869,0,LE
1030,3546284032,-1,LE
1031,0,-11422,LE
1032,65535,0,LE
1033,4294955875,0,LE
1034,3546546176,-1,LE
1035,0,-11421,LE
1036,65535,0,LE
1037,4294955874,0,LE
1038,3546284032,-1,LE
1039,0,-11428,LE
1040,65535,0,LE
1041,4294955863,0,LE
1042,3545300992,-1,LE
1043,0,-11445,LE
1044,65535,0,LE
1045,4294955843,0,LE
1046,3543728128,-1,LE
1047,0,-11473,LE
1048,65535,0,LE
1049,4294955812,0,LE
1050,3541565440,-1,LE
1051,0,-11509,LE
1052,65535,0,LE
1053,4294955773,0,LE
1054,3538747392,-1,LE
1055,0,-11555,LE
1056,65535,0,LE
1057,4294955723,0,LE
1058,3535339520,-1,LE
1059,0,-11610,LE
1060,65535,0,LE
1061,4294955665,0,LE
1062,3531276288,-1,LE
1063,0,-11675,LE
1064,65535,0,LE
1065,4294955597,0,LE
1066,3526623232,-1,LE
1067,0,-11750,LE
1068,65535,0,LE
1069,4294955519,0,LE
1070,3521314816,-1,LE
1071,0,-11834,LE
1072,65535,0,LE
1073,4294955433,0,LE
1074,3515482112,-1,LE
1075,0,-11925,LE
1076,65535,0,LE
1077,4294955339,0,LE
1078,3509190656,-1,LE
1079,0,-12023,LE
1080,65535,0,LE
1081,4294955239,0,LE
1082,3502571520,-1,LE
1083,0,-12126,LE
1084,65535,0,LE
1085,4294955135,0,LE
1086,3495690240,-1,LE
1087,0,-12232,LE
1088,65535,0,LE
1089,4294955028,0,LE
1090,3488612352,-1,LE
1091,0,-12341,LE
1092,65535,0,LE
1093,4294954918,0,LE
1094,3481337856,-1,LE
1095,0,-12453,LE
1096,65535,0,LE
1097,4294954806,0,LE
1098,3473932288,-1,LE
1099,0,-12565,LE
1100,65535,0,LE
1101,4294954694,0,LE
1102,3466657792,-1,LE
1103,0,-12676,LE
1104,65535,0,LE
1105,4294954584,0,LE
1106,3459514368,-1,LE
1107,0,-12784,LE
1108,65535,0,LE
1109,4294954478,0,LE
1110,3452698624,-1,LE
1111,0,-12886,LE
1112,65535,0,LE
1113,4294954377,0,LE
1114,3446210560,-1,LE
1115,0,-12982,LE
1116,65535,0,LE
1117,4294954284,0,LE
1118,3440312320,-1,LE
1119,0,-13070,LE
1120,65535,0,LE
1121,4294954199,0,LE
1122,3434938368,-1,LE
1123,0,-13149,LE
1124,65535,0,LE
1125,4294954123,0,LE
1126,3430154240,-1,LE
1127,0,-13218,LE
1128,65535,0,LE
1129,4294954057,0,LE
1130,3426025472,-1,LE
1131,0,-13278,LE
1132,65535,0,LE
1133,4294954001,0,LE
1134,3422617600,-1,LE
1135,0,-13326,LE
1136,65535,0,LE
1137,4294953956,0,LE
1138,3419865088,-1,LE
1139,0,-13364,LE
1140,65535,0,LE
1141,4294953922,0,LE
1142,3417833472,-1,LE
1143,0,-13392,LE
1144,65535,0,LE
1145,4294953897,0,LE
1146,3416457216,-1,LE
1147,0,-13410,LE
1148,65535,0,LE
1149,4294953881,0,LE
1150,3415605248,-1,LE
1151,0,-13421,LE
1152,65535,0,LE
1153,4294953872,0,LE
1154,3415146496,-1,LE
1155,0,-13426,LE
1156,65535,0,LE
1157,4294953869,0,LE
1158,3415015424,-1,LE
1159,0,-13427,LE
1160,65535,0,LE
1161,4294953870,0,LE
1162,3415080960,-1,LE
1163,0,-13425,LE
1164,65535,0,LE
1165,4294953873,0,LE
1166,3415343104,-1,LE
1167,0,-13421,LE
1168,65535,0,LE
1169,4294953877,0,LE
1170,3415605248,-1,LE
1171,0,-13416,LE
1172,65535,0,LE
1173,4294953881,0,LE
1174,3415867392,-1,LE
1175,0,-13413,LE
1176,65535,0,LE
1177,4294953884,0,LE
1178,3416064000,-1,LE
1179,0,-13411,LE
1180,65535,0,LE
1181,4294953885,0,LE
